tx_id,trace_steps,challenge_timeout,max_bisection_rounds,sample_index,mutated_step,bisection_rounds,expected_log2_rounds,challenge_step_calls,timed_out_detected,recover_status,recover_count,target_step,replay_passed,challenge_success,final_status
challenge-t4-to2-r16-s1,4,2,16,1,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s2,4,2,16,2,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s3,4,2,16,3,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s4,4,2,16,4,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s5,4,2,16,5,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s6,4,2,16,6,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s7,4,2,16,7,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s8,4,2,16,8,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s9,4,2,16,9,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s10,4,2,16,10,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s11,4,2,16,11,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s12,4,2,16,12,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s13,4,2,16,13,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s14,4,2,16,14,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s15,4,2,16,15,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s16,4,2,16,16,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s17,4,2,16,17,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s18,4,2,16,18,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s19,4,2,16,19,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s20,4,2,16,20,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s21,4,2,16,21,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
