scenario,sample_index,tx_id,detected,verify_valid,mismatches,recover_used,challenge_success,replay_reason,final_status
normal,1,failure-normal-1,False,True,,False,False,,PENDING
normal,2,failure-normal-2,False,True,,False,False,,PENDING
normal,3,failure-normal-3,False,True,,False,False,,PENDING
normal,4,failure-normal-4,False,True,,False,False,,PENDING
normal,5,failure-normal-5,False,True,,False,False,,PENDING
normal,6,failure-normal-6,False,True,,False,False,,PENDING
normal,7,failure-normal-7,False,True,,False,False,,PENDING
normal,8,failure-normal-8,False,True,,False,False,,PENDING
normal,9,failure-normal-9,False,True,,False,False,,PENDING
normal,10,failure-normal-10,False,True,,False,False,,PENDING
normal,11,failure-normal-11,False,True,,False,False,,PENDING
normal,12,failure-normal-12,False,True,,False,False,,PENDING
normal,13,failure-normal-13,False,True,,False,False,,PENDING
normal,14,failure-normal-14,False,True,,False,False,,PENDING
normal,15,failure-normal-15,False,True,,False,False,,PENDING
normal,16,failure-normal-16,False,True,,False,False,,PENDING
normal,17,failure-normal-17,False,True,,False,False,,PENDING
normal,18,failure-normal-18,False,True,,False,False,,PENDING
normal,19,failure-normal-19,False,True,,False,False,,PENDING
normal,20,failure-normal-20,False,True,,False,False,,PENDING
normal,21,failure-normal-21,False,True,,False,False,,PENDING
normal,22,failure-normal-22,False,True,,False,False,,PENDING
normal,23,failure-normal-23,False,True,,False,False,,PENDING
normal,24,failure-normal-24,False,True,,False,False,,PENDING
normal,25,failure-normal-25,False,True,,False,False,,PENDING
normal,26,failure-normal-26,False,True,,False,False,,PENDING
normal,27,failure-normal-27,False,True,,False,False,,PENDING
normal,28,failure-normal-28,False,True,,False,False,,PENDING
normal,29,failure-normal-29,False,True,,False,False,,PENDING
normal,30,failure-normal-30,False,True,,False,False,,PENDING
normal,31,failure-normal-31,False,True,,False,False,,PENDING
normal,32,failure-normal-32,False,True,,False,False,,PENDING
normal,33,failure-normal-33,False,True,,False,False,,PENDING
normal,34,failure-normal-34,False,True,,False,False,,PENDING
normal,35,failure-normal-35,False,True,,False,False,,PENDING
normal,36,failure-normal-36,False,True,,False,False,,PENDING
normal,37,failure-normal-37,False,True,,False,False,,PENDING
normal,38,failure-normal-38,False,True,,False,False,,PENDING
normal,39,failure-normal-39,False,True,,False,False,,PENDING
normal,40,failure-normal-40,False,True,,False,False,,PENDING
normal,41,failure-normal-41,False,True,,False,False,,PENDING
normal,42,failure-normal-42,False,True,,False,False,,PENDING
normal,43,failure-normal-43,False,True,,False,False,,PENDING
normal,44,failure-normal-44,False,True,,False,False,,PENDING
normal,45,failure-normal-45,False,True,,False,False,,PENDING
normal,46,failure-normal-46,False,True,,False,False,,PENDING
normal,47,failure-normal-47,False,True,,False,False,,PENDING
normal,48,failure-normal-48,False,True,,False,False,,PENDING
normal,49,failure-normal-49,False,True,,False,False,,PENDING
normal,50,failure-normal-50,False,True,,False,False,,PENDING
normal,51,failure-normal-51,False,True,,False,False,,PENDING
normal,52,failure-normal-52,False,True,,False,False,,PENDING
normal,53,failure-normal-53,False,True,,False,False,,PENDING
normal,54,failure-normal-54,False,True,,False,False,,PENDING
normal,55,failure-normal-55,False,True,,False,False,,PENDING
normal,56,failure-normal-56,False,True,,False,False,,PENDING
normal,57,failure-normal-57,False,True,,False,False,,PENDING
normal,58,failure-normal-58,False,True,,False,False,,PENDING
normal,59,failure-normal-59,False,True,,False,False,,PENDING
normal,60,failure-normal-60,False,True,,False,False,,PENDING
normal,61,failure-normal-61,False,True,,False,False,,PENDING
normal,62,failure-normal-62,False,True,,False,False,,PENDING
normal,63,failure-normal-63,False,True,,False,False,,PENDING
normal,64,failure-normal-64,False,True,,False,False,,PENDING
normal,65,failure-normal-65,False,True,,False,False,,PENDING
normal,66,failure-normal-66,False,True,,False,False,,PENDING
normal,67,failure-normal-67,False,True,,False,False,,PENDING
normal,68,failure-normal-68,False,True,,False,False,,PENDING
normal,69,failure-normal-69,False,True,,False,False,,PENDING
normal,70,failure-normal-70,False,True,,False,False,,PENDING
normal,71,failure-normal-71,False,True,,False,False,,PENDING
normal,72,failure-normal-72,False,True,,False,False,,PENDING
normal,73,failure-normal-73,False,True,,False,False,,PENDING
normal,74,failure-normal-74,False,True,,False,False,,PENDING
normal,75,failure-normal-75,False,True,,False,False,,PENDING
normal,76,failure-normal-76,False,True,,False,False,,PENDING
normal,77,failure-normal-77,False,True,,False,False,,PENDING
normal,78,failure-normal-78,False,True,,False,False,,PENDING
normal,79,failure-normal-79,False,True,,False,False,,PENDING
normal,80,failure-normal-80,False,True,,False,False,,PENDING
normal,81,failure-normal-81,False,True,,False,False,,PENDING
normal,82,failure-normal-82,False,True,,False,False,,PENDING
normal,83,failure-normal-83,False,True,,False,False,,PENDING
normal,84,failure-normal-84,False,True,,False,False,,PENDING
normal,85,failure-normal-85,False,True,,False,False,,PENDING
normal,86,failure-normal-86,False,True,,False,False,,PENDING
normal,87,failure-normal-87,False,True,,False,False,,PENDING
normal,88,failure-normal-88,False,True,,False,False,,PENDING
normal,89,failure-normal-89,False,True,,False,False,,PENDING
normal,90,failure-normal-90,False,True,,False,False,,PENDING
normal,91,failure-normal-91,False,True,,False,False,,PENDING
normal,92,failure-normal-92,False,True,,False,False,,PENDING
normal,93,failure-normal-93,False,True,,False,False,,PENDING
normal,94,failure-normal-94,False,True,,False,False,,PENDING
normal,95,failure-normal-95,False,True,,False,False,,PENDING
normal,96,failure-normal-96,False,True,,False,False,,PENDING
normal,97,failure-normal-97,False,True,,False,False,,PENDING
normal,98,failure-normal-98,False,True,,False,False,,PENDING
normal,99,failure-normal-99,False,True,,False,False,,PENDING
normal,100,failure-normal-100,False,True,,False,False,,PENDING
response_tampered,1,failure-response_tampered-1,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,2,failure-response_tampered-2,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,3,failure-response_tampered-3,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,4,failure-response_tampered-4,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,5,failure-response_tampered-5,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,6,failure-response_tampered-6,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,7,failure-response_tampered-7,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,8,failure-response_tampered-8,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,9,failure-response_tampered-9,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,10,failure-response_tampered-10,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,11,failure-response_tampered-11,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,12,failure-response_tampered-12,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,13,failure-response_tampered-13,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,14,failure-response_tampered-14,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,15,failure-response_tampered-15,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,16,failure-response_tampered-16,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,17,failure-response_tampered-17,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,18,failure-response_tampered-18,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,19,failure-response_tampered-19,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,20,failure-response_tampered-20,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,21,failure-response_tampered-21,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,22,failure-response_tampered-22,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,23,failure-response_tampered-23,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,24,failure-response_tampered-24,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,25,failure-response_tampered-25,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,26,failure-response_tampered-26,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,27,failure-response_tampered-27,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,28,failure-response_tampered-28,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,29,failure-response_tampered-29,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,30,failure-response_tampered-30,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,31,failure-response_tampered-31,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,32,failure-response_tampered-32,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,33,failure-response_tampered-33,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,34,failure-response_tampered-34,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,35,failure-response_tampered-35,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,36,failure-response_tampered-36,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,37,failure-response_tampered-37,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,38,failure-response_tampered-38,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,39,failure-response_tampered-39,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,40,failure-response_tampered-40,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,41,failure-response_tampered-41,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,42,failure-response_tampered-42,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,43,failure-response_tampered-43,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,44,failure-response_tampered-44,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,45,failure-response_tampered-45,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,46,failure-response_tampered-46,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,47,failure-response_tampered-47,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,48,failure-response_tampered-48,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,49,failure-response_tampered-49,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,50,failure-response_tampered-50,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,51,failure-response_tampered-51,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,52,failure-response_tampered-52,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,53,failure-response_tampered-53,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,54,failure-response_tampered-54,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,55,failure-response_tampered-55,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,56,failure-response_tampered-56,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,57,failure-response_tampered-57,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,58,failure-response_tampered-58,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,59,failure-response_tampered-59,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,60,failure-response_tampered-60,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,61,failure-response_tampered-61,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,62,failure-response_tampered-62,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,63,failure-response_tampered-63,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,64,failure-response_tampered-64,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,65,failure-response_tampered-65,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,66,failure-response_tampered-66,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,67,failure-response_tampered-67,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,68,failure-response_tampered-68,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,69,failure-response_tampered-69,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,70,failure-response_tampered-70,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,71,failure-response_tampered-71,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,72,failure-response_tampered-72,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,73,failure-response_tampered-73,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,74,failure-response_tampered-74,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,75,failure-response_tampered-75,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,76,failure-response_tampered-76,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,77,failure-response_tampered-77,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,78,failure-response_tampered-78,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,79,failure-response_tampered-79,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,80,failure-response_tampered-80,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,81,failure-response_tampered-81,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,82,failure-response_tampered-82,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,83,failure-response_tampered-83,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,84,failure-response_tampered-84,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,85,failure-response_tampered-85,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,86,failure-response_tampered-86,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,87,failure-response_tampered-87,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,88,failure-response_tampered-88,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,89,failure-response_tampered-89,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,90,failure-response_tampered-90,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,91,failure-response_tampered-91,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,92,failure-response_tampered-92,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,93,failure-response_tampered-93,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,94,failure-response_tampered-94,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,95,failure-response_tampered-95,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,96,failure-response_tampered-96,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,97,failure-response_tampered-97,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,98,failure-response_tampered-98,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,99,failure-response_tampered-99,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
response_tampered,100,failure-response_tampered-100,True,False,da_payload_hash_mismatch;da_proof_invalid;attestation_invalid;state_root_mismatch,False,True,step_state_mismatch,SLASHED
attestation_invalid,1,failure-attestation_invalid-1,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,2,failure-attestation_invalid-2,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,3,failure-attestation_invalid-3,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,4,failure-attestation_invalid-4,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,5,failure-attestation_invalid-5,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,6,failure-attestation_invalid-6,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,7,failure-attestation_invalid-7,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,8,failure-attestation_invalid-8,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,9,failure-attestation_invalid-9,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,10,failure-attestation_invalid-10,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,11,failure-attestation_invalid-11,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,12,failure-attestation_invalid-12,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,13,failure-attestation_invalid-13,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,14,failure-attestation_invalid-14,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,15,failure-attestation_invalid-15,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,16,failure-attestation_invalid-16,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,17,failure-attestation_invalid-17,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
attestation_invalid,18,failure-attestation_invalid-18,True,False,da_payload_hash_mismatch;attestation_invalid;proof_hash_mismatch,False,False,,PENDING
